time,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:56:10.979623,64,172.16.0.1:,1,64,837.0
2026-01-28 16:56:11.122278,64,172.16.0.1:,2,64,777.0
2026-01-28 16:56:11.621416,0,172.16.0.1:,3,0,0.0
2026-01-28 16:56:11.621416,0,172.16.0.1:,4,0,0.0
2026-01-28 16:56:11.621416,64,172.16.0.1:,5,64,660.0
2026-01-28 16:56:11.911505,64,172.16.0.1:,6,64,749.0
2026-01-28 16:56:12.127339,64,172.16.0.1:,7,64,758.0
2026-01-28 16:56:12.298279,64,172.16.0.1:,8,64,725.0
2026-01-28 16:56:12.650303,0,172.16.0.1:,9,0,0.0
2026-01-28 16:56:12.650303,64,172.16.0.1:,10,64,677.0
2026-01-28 16:56:14.150374,0,172.16.0.1:,11,0,0.0
2026-01-28 16:56:14.150374,0,172.16.0.1:,12,0,0.0
2026-01-28 16:56:14.150374,0,172.16.0.1:,13,0,0.0
2026-01-28 16:56:14.150374,0,172.16.0.1:,14,0,0.0
2026-01-28 16:56:14.150374,0,172.16.0.1:,15,0,0.0
2026-01-28 16:56:14.150374,0,172.16.0.1:,16,0,0.0
2026-01-28 16:56:14.150374,0,172.16.0.1:,17,0,0.0
2026-01-28 16:56:14.150374,64,172.16.0.1:,18,64,557.0
2026-01-28 16:56:15.165724,0,172.16.0.1:,19,0,0.0
2026-01-28 16:56:15.165724,0,172.16.0.1:,20,0,0.0
2026-01-28 16:56:15.165724,0,172.16.0.1:,21,0,0.0
2026-01-28 16:56:15.165724,64,172.16.0.1:,22,64,760.0
2026-01-28 16:56:16.204248,0,172.16.0.1:,23,0,0.0
2026-01-28 16:56:16.204248,0,172.16.0.1:,24,0,0.0
2026-01-28 16:56:16.204248,0,172.16.0.1:,25,0,0.0
2026-01-28 16:56:16.204248,0,172.16.0.1:,26,0,0.0
2026-01-28 16:56:16.204248,64,172.16.0.1:,27,64,770.0
2026-01-28 16:56:16.715952,0,172.16.0.1:,28,0,0.0
2026-01-28 16:56:16.715952,0,172.16.0.1:,29,0,0.0
2026-01-28 16:56:16.715952,0,172.16.0.1:,30,0,0.0
2026-01-28 16:56:16.715952,0,172.16.0.1:,31,0,0.0
2026-01-28 16:56:16.715952,0,172.16.0.1:,32,0,0.0
2026-01-28 16:56:16.715952,64,172.16.0.1:,33,64,57.4
2026-01-28 16:56:17.113845,64,172.16.0.1:,34,64,255.0
2026-01-28 16:56:17.320965,64,172.16.0.1:,35,64,260.0
2026-01-28 16:56:17.532829,64,172.16.0.1:,36,64,271.0
2026-01-28 16:56:18.244530,0,172.16.0.1:,37,0,0.0
2026-01-28 16:56:18.244530,0,172.16.0.1:,38,0,0.0
2026-01-28 16:56:18.244530,64,172.16.0.1:,39,64,379.0
2026-01-28 16:56:18.589418,0,172.16.0.1:,40,0,0.0
2026-01-28 16:56:18.589418,64,172.16.0.1:,41,64,319.0
2026-01-28 16:56:18.980961,64,172.16.0.1:,42,64,504.0
2026-01-28 16:56:19.179969,64,172.16.0.1:,43,64,502.0
2026-01-28 16:56:19.283931,64,172.16.0.1:,44,64,399.0
2026-01-28 16:56:20.260753,0,172.16.0.1:,45,0,0.0
2026-01-28 16:56:20.260753,0,172.16.0.1:,46,0,0.0
2026-01-28 16:56:20.260753,0,172.16.0.1:,47,0,0.0
2026-01-28 16:56:20.260753,0,172.16.0.1:,48,0,0.0
2026-01-28 16:56:20.260753,64,172.16.0.1:,49,64,355.0
2026-01-28 16:56:21.043492,0,172.16.0.1:,50,0,0.0
2026-01-28 16:56:21.043492,0,172.16.0.1:,51,0,0.0
2026-01-28 16:56:21.043492,64,172.16.0.1:,52,64,530.0
2026-01-28 16:56:21.145741,64,172.16.0.1:,53,64,428.0
2026-01-28 16:56:21.443808,0,172.16.0.1:,54,0,0.0
2026-01-28 16:56:21.443808,64,172.16.0.1:,55,64,322.0
2026-01-28 16:56:21.958756,0,172.16.0.1:,56,0,0.0
2026-01-28 16:56:21.958756,64,172.16.0.1:,57,64,436.0
2026-01-28 16:56:22.212619,64,172.16.0.1:,58,64,487.0
2026-01-28 16:56:22.566255,0,172.16.0.1:,59,0,0.0
2026-01-28 16:56:22.566255,64,172.16.0.1:,60,64,432.0
2026-01-28 16:56:22.690339,64,172.16.0.1:,61,64,355.0
2026-01-28 16:56:22.969904,64,172.16.0.1:,62,64,432.0
2026-01-28 16:56:23.132132,64,172.16.0.1:,63,64,394.0
2026-01-28 16:56:23.256781,64,172.16.0.1:,64,64,311.0
2026-01-28 16:56:24.308970,0,172.16.0.1:,65,0,0.0
2026-01-28 16:56:24.308970,0,172.16.0.1:,66,0,0.0
2026-01-28 16:56:24.308970,0,172.16.0.1:,67,0,0.0
2026-01-28 16:56:24.308970,0,172.16.0.1:,68,0,0.0
2026-01-28 16:56:24.308970,64,172.16.0.1:,69,64,343.0
2026-01-28 16:56:24.707857,0,172.16.0.1:,70,0,0.0
2026-01-28 16:56:24.707857,64,172.16.0.1:,71,64,338.0
2026-01-28 16:56:24.947864,64,172.16.0.1:,72,64,374.0
2026-01-28 16:56:25.353864,0,172.16.0.1:,73,0,0.0
2026-01-28 16:56:25.353864,64,172.16.0.1:,74,64,381.0
2026-01-28 16:56:25.562868,64,172.16.0.1:,75,64,390.0
2026-01-28 16:56:25.701918,64,172.16.0.1:,76,64,328.0
2026-01-28 16:56:25.984822,64,172.16.0.1:,77,64,410.0
2026-01-28 16:56:26.312800,0,172.16.0.1:,78,0,0.0
